relation,src_user_id,dst_user_id,base_score,abnormal_pair,tns_score,abnormal_tns_interaction,soft_weight_factor,rank_score
UPU,100013,192148,0.11736611,0.10991852,0.0,0.0,1.0,0.11736611
UPU,100013,19091,0.058277648,0.11764759,0.0,0.0,1.0,0.058277648
UPU,100013,20857,0.0524065,0.11126074,0.0,0.0,1.0,0.0524065
UPU,100013,55848,0.044468388,0.09903363,0.0,0.0,1.0,0.044468388
UPU,100013,98826,0.040425807,0.14158763,0.0,0.0,1.0,0.040425807
UPU,100013,19891,0.038490713,0.0939483,0.0,0.0,1.0,0.038490713
UPU,100013,48160,0.03667691,0.105383284,0.0,0.0,1.0,0.03667691
UPU,100013,27318,0.034876782,0.13279451,0.0,0.0,1.0,0.034876782
UPU,100013,52230,0.03156611,0.10116628,0.0,0.0,1.0,0.03156611
UPU,100013,52236,0.02972342,0.13986856,0.0,0.0,1.0,0.02972342
UPU,100013,139868,0.02872597,0.15743239,0.0,0.0,1.0,0.02872597
UPU,100013,21478,0.025876187,0.14054987,0.0,0.0,1.0,0.025876187
UPU,100013,9812,0.025139483,0.14009258,0.0,0.0,1.0,0.025139483
UPU,100013,57791,0.024859762,0.12504314,0.0,0.0,1.0,0.024859762
UPU,100013,67223,0.02328667,0.12773733,0.0,0.0,1.0,0.02328667
UPU,100013,35451,0.022234194,0.15631823,0.0,0.0,1.0,0.022234194
UPU,100013,134266,0.0216962,0.08927167,0.0,0.0,1.0,0.0216962
UPU,100013,62584,0.021515785,0.14088506,0.0,0.0,1.0,0.021515785
UPU,100013,127379,0.020958234,0.10685999,0.0,0.0,1.0,0.020958234
UPU,100013,43476,0.020803925,0.10829131,0.0,0.0,1.0,0.020803925
UPU,100019,76230,0.04438109,0.15649262,0.0,0.0,1.0,0.04438109
UPU,100019,13281,0.039223004,0.11916441,0.0,0.0,1.0,0.039223004
UPU,100019,139834,0.03780961,0.15605824,0.0,0.0,1.0,0.03780961
UPU,100019,97593,0.035684567,0.106427535,0.0,0.0,1.0,0.035684567
UPU,100019,130881,0.034112465,0.13437286,0.0,0.0,1.0,0.034112465
UPU,100019,147055,0.033096936,0.1287149,0.0,0.0,1.0,0.033096936
UPU,100019,18637,0.031137327,0.14665112,0.0,0.0,1.0,0.031137327
UPU,100019,48375,0.03057364,0.08615411,0.0,0.0,1.0,0.03057364
UPU,100019,107621,0.029846627,0.0986543,0.0,0.0,1.0,0.029846627
UPU,100019,104406,0.029206388,0.111664414,0.0,0.0,1.0,0.029206388
UPU,100019,15692,0.028718498,0.11213934,0.0,0.0,1.0,0.028718498
UPU,100019,7966,0.027324742,0.089688145,0.0,0.0,1.0,0.027324742
UPU,100019,151162,0.027243838,0.089275405,0.0,0.0,1.0,0.027243838
UPU,100019,162397,0.026457958,0.103210025,0.0,0.0,1.0,0.026457958
UPU,100019,80237,0.025050372,0.1334873,0.0,0.0,1.0,0.025050372
UPU,100019,65426,0.024699243,0.11307431,0.0,0.0,1.0,0.024699243
UPU,100019,219513,0.024350686,0.12429948,0.0,0.0,1.0,0.024350686
UPU,100019,36129,0.023720928,0.12146938,0.0,0.0,1.0,0.023720928
UPU,100019,48187,0.022399701,0.100666955,0.0,0.0,1.0,0.022399701
UPU,100019,139868,0.021644218,0.1565127,0.0,0.0,1.0,0.021644218
UPU,100114,27602,0.039740678,0.095486194,0.0,0.0,1.0,0.039740678
UPU,100114,15995,0.034046367,0.13092366,0.0,0.0,1.0,0.034046367
UPU,100114,103780,0.03354259,0.14319356,0.0,0.0,1.0,0.03354259
UPU,100114,103778,0.025432225,0.11348098,0.0,0.0,1.0,0.025432225
UPU,100114,67356,0.02138095,0.109879635,0.0,0.0,1.0,0.02138095
UPU,100114,20370,0.020289326,0.10121993,0.0,0.0,1.0,0.020289326
UPU,100114,45251,0.01918977,0.1315383,0.0,0.0,1.0,0.01918977
UPU,100114,21472,0.016331384,0.07974228,0.0,0.0,1.0,0.016331384
UPU,100114,62627,0.0145572005,0.11034114,0.0,0.0,1.0,0.0145572005
UPU,100114,53146,0.013831576,0.10902304,0.0,0.0,1.0,0.013831576
UPU,100114,52279,0.012966441,0.10606198,0.0,0.0,1.0,0.012966441
UPU,100114,103774,0.012435858,0.1435036,0.0,0.0,1.0,0.012435858
UPU,100114,21447,0.0120045915,0.11421804,0.0,0.0,1.0,0.0120045915
UPU,100114,103783,0.0116301635,0.14262113,0.0,0.0,1.0,0.0116301635
UPU,100114,98674,0.010536433,0.1436496,0.0,0.0,1.0,0.010536433
UPU,100114,84076,0.009752537,0.10363572,0.0,0.0,1.0,0.009752537
UPU,100114,49364,0.008961133,0.11895971,0.0,0.0,1.0,0.008961133
UPU,100114,190752,0.007856772,0.117604166,0.0,0.0,1.0,0.007856772
UPU,100114,103584,0.0070834723,0.13233583,0.0,0.0,1.0,0.0070834723
UPU,100114,104406,0.0069792517,0.10529611,0.0,0.0,1.0,0.0069792517
UPU,100179,30029,0.05687742,0.11117208,0.0,0.0,1.0,0.05687742
UPU,100179,42404,0.052147437,0.09731969,0.0,0.0,1.0,0.052147437
UPU,100179,149590,0.03295701,0.1280037,0.0,0.0,1.0,0.03295701
UPU,100179,13637,0.029222626,0.09537519,0.0,0.0,1.0,0.029222626
UPU,100179,48402,0.025534496,0.17227176,0.0,0.0,1.0,0.025534496
UPU,100179,5765,0.02164766,0.12135757,0.0,0.0,1.0,0.02164766
UPU,100179,13648,0.019125544,0.12693578,0.0,0.0,1.0,0.019125544
UPU,100179,202372,0.017942265,0.0921065,0.0,0.0,1.0,0.017942265
UPU,100179,22908,0.015380086,0.19232158,0.0,0.0,1.0,0.015380086
UPU,100179,23593,0.01531263,0.11260122,0.0,0.0,1.0,0.01531263
UPU,100179,30167,0.014330653,0.127701,0.0,0.0,1.0,0.014330653
UPU,100179,44118,0.014127603,0.12407255,0.0,0.0,1.0,0.014127603
UPU,100179,70813,0.011222218,0.18477951,0.0,0.0,1.0,0.011222218
UPU,100179,81174,0.010056845,0.19071116,0.0,0.0,1.0,0.010056845
UPU,100179,74780,0.0099629415,0.17141631,0.0,0.0,1.0,0.0099629415
UPU,100179,12256,0.008770743,0.18110563,0.0,0.0,1.0,0.008770743
UPU,100179,15462,0.007829455,0.18722516,0.0,0.0,1.0,0.007829455
UPU,100179,24650,0.0073486473,0.19243407,0.0,0.0,1.0,0.0073486473
UPU,100179,112136,0.0068102023,0.19133908,0.0,0.0,1.0,0.0068102023
UPU,100179,70828,0.0065333573,0.14984041,0.0,0.0,1.0,0.0065333573
UPU,10021,118114,0.07886188,0.22819795,0.0,0.0,1.0,0.07886188
UPU,10021,177017,0.04743142,0.29717687,0.0,0.0,1.0,0.04743142
UPU,10021,36885,0.025540136,0.1381197,0.0,0.0,1.0,0.025540136
UPU,10021,186474,0.022519046,0.36387667,0.0,0.0,1.0,0.022519046
UPU,10021,58241,0.018571978,0.3772169,0.0,0.0,1.0,0.018571978
UPU,10021,7359,0.018038055,0.16215628,0.0,0.0,1.0,0.018038055
UPU,10021,10073,0.013185066,0.169746,0.0,0.0,1.0,0.013185066
UPU,10021,10044,0.011156219,0.16012378,0.0,0.0,1.0,0.011156219
UPU,10021,11662,0.00911101,0.1466229,0.0,0.0,1.0,0.00911101
UPU,10021,70022,0.008177661,0.24322742,0.0,0.0,1.0,0.008177661
