relation,src_user_id,dst_user_id,base_score,abnormal_pair,tns_score,abnormal_tns_interaction,soft_weight_factor,rank_score
UPU,100013,192148,0.11736611,0.10991852,0.0,0.0,1.0549593,0.123816475
UPU,100013,19091,0.058277648,0.11764759,0.0,0.0,1.0588238,0.06170576
UPU,100013,20857,0.0524065,0.11126074,0.0,0.0,1.0556303,0.05532189
UPU,100013,55848,0.044468388,0.09903363,0.0,0.0,1.0495168,0.04667032
UPU,100013,98826,0.040425807,0.14158763,0.0,0.0,1.0707939,0.043287706
UPU,100013,19891,0.038490713,0.0939483,0.0,0.0,1.0469742,0.040298782
UPU,100013,48160,0.03667691,0.105383284,0.0,0.0,1.0526917,0.03860948
UPU,100013,27318,0.034876782,0.13279451,0.0,0.0,1.0663973,0.03719251
UPU,100013,52230,0.03156611,0.10116628,0.0,0.0,1.0505831,0.03316282
UPU,100013,52236,0.02972342,0.13986856,0.0,0.0,1.0699342,0.031802107
UPU,100013,139868,0.02872597,0.15743239,0.0,0.0,1.0787162,0.030987168
UPU,100013,21478,0.025876187,0.14054987,0.0,0.0,1.070275,0.027694635
UPU,100013,9812,0.025139483,0.14009258,0.0,0.0,1.0700463,0.02690041
UPU,100013,57791,0.024859762,0.12504314,0.0,0.0,1.0625216,0.026414033
UPU,100013,67223,0.02328667,0.12773733,0.0,0.0,1.0638686,0.02477396
UPU,100013,35451,0.022234194,0.15631823,0.0,0.0,1.0781591,0.023971999
UPU,100013,134266,0.0216962,0.08927167,0.0,0.0,1.0446359,0.02266463
UPU,100013,62584,0.021515785,0.14088506,0.0,0.0,1.0704426,0.023031412
UPU,100013,127379,0.020958234,0.10685999,0.0,0.0,1.05343,0.022078032
UPU,100013,43476,0.020803925,0.10829131,0.0,0.0,1.0541457,0.021930367
UPU,100019,76230,0.04438109,0.15649262,0.0,0.0,1.0782464,0.04785375
UPU,100019,13281,0.039223004,0.11916441,0.0,0.0,1.0595822,0.041559998
UPU,100019,139834,0.03780961,0.15605824,0.0,0.0,1.0780292,0.04075986
UPU,100019,97593,0.035684567,0.106427535,0.0,0.0,1.0532137,0.037583474
UPU,100019,130881,0.034112465,0.13437286,0.0,0.0,1.0671865,0.03640436
UPU,100019,147055,0.033096936,0.1287149,0.0,0.0,1.0643574,0.035226967
UPU,100019,18637,0.031137327,0.14665112,0.0,0.0,1.0733255,0.03342049
UPU,100019,48375,0.03057364,0.08615411,0.0,0.0,1.0430771,0.031890664
UPU,100019,107621,0.029846627,0.0986543,0.0,0.0,1.0493271,0.031318877
UPU,100019,104406,0.029206388,0.111664414,0.0,0.0,1.0558321,0.030837042
UPU,100019,15692,0.028718498,0.11213934,0.0,0.0,1.0560696,0.030328732
UPU,100019,7966,0.027324742,0.089688145,0.0,0.0,1.044844,0.028550094
UPU,100019,151162,0.027243838,0.089275405,0.0,0.0,1.0446377,0.02845994
UPU,100019,162397,0.026457958,0.103210025,0.0,0.0,1.051605,0.02782332
UPU,100019,80237,0.025050372,0.1334873,0.0,0.0,1.0667436,0.026722325
UPU,100019,65426,0.024699243,0.11307431,0.0,0.0,1.0565372,0.026095668
UPU,100019,219513,0.024350686,0.12429948,0.0,0.0,1.0621498,0.025864076
UPU,100019,36129,0.023720928,0.12146938,0.0,0.0,1.0607347,0.025161613
UPU,100019,48187,0.022399701,0.100666955,0.0,0.0,1.0503335,0.023527157
UPU,100019,139868,0.021644218,0.1565127,0.0,0.0,1.0782564,0.023338016
UPU,100114,27602,0.039740678,0.095486194,0.0,0.0,1.0477431,0.04163802
UPU,100114,15995,0.034046367,0.13092366,0.0,0.0,1.0654619,0.036275107
UPU,100114,103780,0.03354259,0.14319356,0.0,0.0,1.0715967,0.035944127
UPU,100114,103778,0.025432225,0.11348098,0.0,0.0,1.0567405,0.026875263
UPU,100114,67356,0.02138095,0.109879635,0.0,0.0,1.0549399,0.022555616
UPU,100114,20370,0.020289326,0.10121993,0.0,0.0,1.05061,0.021316167
UPU,100114,45251,0.01918977,0.1315383,0.0,0.0,1.0657692,0.020451864
UPU,100114,21472,0.016331384,0.07974228,0.0,0.0,1.0398711,0.016982535
UPU,100114,62627,0.0145572005,0.11034114,0.0,0.0,1.0551705,0.015360329
UPU,100114,53146,0.013831576,0.10902304,0.0,0.0,1.0545115,0.014585557
UPU,100114,52279,0.012966441,0.10606198,0.0,0.0,1.053031,0.013654063
