feature,bucket,count,same_label_ratio,fake_fake_ratio,fake_real_ratio,real_real_ratio
tns_heavy_score,"(-0.001, 0.2]",105094,0.6132605096389898,0.28806592193655206,0.38673949036101013,0.3251945877024378
tns_heavy_score,"(0.2, 0.4]",141,0.75177304964539,0.40425531914893614,0.24822695035460993,0.3475177304964539
tns_heavy_score,"(0.4, 0.6]",21,0.9047619047619048,0.9047619047619048,0.09523809523809523,0.0
tns_heavy_score,"(0.6, 0.8]",4,1.0,1.0,0.0,0.0
tns_heavy_score,"(0.8, 1.0]",4,1.0,1.0,0.0,0.0
mean_session_fake_prior_norm,"(-0.001, 0.2]",105103,0.6132841117760672,0.28800319686402864,0.3867158882239327,0.32528091491203864
mean_session_fake_prior_norm,"(0.2, 0.4]",27,0.7407407407407407,0.18518518518518517,0.25925925925925924,0.5555555555555556
mean_session_fake_prior_norm,"(0.4, 0.6]",47,0.6595744680851063,0.3191489361702128,0.3404255319148936,0.3404255319148936
mean_session_fake_prior_norm,"(0.6, 0.8]",55,0.8363636363636363,0.7636363636363637,0.16363636363636364,0.07272727272727272
mean_session_fake_prior_norm,"(0.8, 1.0]",32,0.875,0.8125,0.125,0.0625
