arm_id,UPU_k,UTU_k,USU_k,LogicAE_CB_k,num_edges,edge_density_norm,warmup_val_auc,warmup_val_ap,warmup_reward,selected_for_full_train,full_train_val_auc,full_train_val_ap,full_train_reward,test_auc,test_ap,test_f1,test_recall,test_precision
1,10,10,20,20,370219,0.743454940147117,0.8357592163019335,0.8244943628826913,1.2331372989403369,True,0.8503039540425712,0.8490945971326578,1.2599821538059577,0.8484363515393727,0.8501921823364389,0.7664587664587664,0.8290854572713643,0.7126288659793815
5,10,20,10,30,426133,0.8557385871868041,0.8320596714409921,0.834395622655122,1.232142711024817,True,0.8455272819433346,0.8458470528143172,1.2513360366067572,0.8482722656662673,0.843570205839135,0.7739065974796145,0.782608695652174,0.7653958944281525
2,10,10,10,30,362073,0.7270965578316809,0.8295428545279825,0.8295588671137335,1.2297803569282155,True,0.8442213531674932,0.8444230927963576,1.2518909684090385,0.8446016871624159,0.8422020668831346,0.7710508002783577,0.8305847076461769,0.7194805194805195
0,20,20,20,20,497971,1.0,0.8339569641907993,0.8257739926201866,1.2268439605008927,False,,,,,,,,
7,15,15,15,25,430377,0.8642611718353077,0.8306164617426228,0.8260146150000351,1.2263385458059342,False,,,,,,,,
6,5,10,10,40,389545,0.7822644290530975,0.8286276483777971,0.8241188827598723,1.2250418011766715,False,,,,,,,,
4,20,10,10,30,425765,0.8549995883294409,0.8295252544097096,0.8250128864047477,1.2249317058454947,False,,,,,,,,
3,5,5,20,30,363261,0.72948223892556,0.8283530865327415,0.8149190889759258,1.2212229862421933,False,,,,,,,,
9,10,5,20,30,396182,0.7955925144235307,0.8272407590579008,0.818090646166974,1.2203742318529174,False,,,,,,,,
8,5,5,10,40,357014,0.7169373316920061,0.8262621924819333,0.8139659991917618,1.2189064454439742,False,,,,,,,,
