review_encoder,model_name,edge_set,threshold,val_auc,val_ap,auc,ap,recall,precision,f1,accuracy,num_train_users,num_val_users,num_test_users,num_fake_train,num_fake_val,num_fake_test
llm_masked_logic_initial,relation_attention,MLP_no_graph,0.8318934440612793,0.826182783018868,0.27992757049222255,0.8287160966981131,0.2774400181803395,0.384,0.2922374429223744,0.33189282627484873,0.89387699066447,33990,7284,7284,2332,500,500
llm_masked_logic_initial,relation_attention,Base,0.7996304035186768,0.8267326061320754,0.29411260345837253,0.8415964033018868,0.3185381575861429,0.462,0.2894736842105263,0.3559322033898305,0.885227896760022,33990,7284,7284,2332,500,500
llm_masked_logic_initial,relation_attention,Base_TextSim,0.8586756587028503,0.8246193985849056,0.2883492906560897,0.8372903891509434,0.32568525218072647,0.446,0.2941952506596306,0.35453100158982515,0.8885227896760022,33990,7284,7284,2332,500,500
llm_masked_logic_initial,relation_attention,Base_CB,0.8559266924858093,0.8264672759433962,0.2933658985567123,0.8385678066037736,0.31578944978568607,0.408,0.2943722943722944,0.34199497066219614,0.8922295442064799,33990,7284,7284,2332,500,500
llm_masked_logic_initial,relation_attention,Base_LogicAE_CB,0.8151569366455078,0.8303673349056604,0.3117662702116945,0.8439442806603774,0.3269929129682174,0.448,0.3218390804597701,0.3745819397993311,0.8973091707852828,33990,7284,7284,2332,500,500
llm_masked_logic_initial,relation_attention,Full,0.8070741295814514,0.8298727889150943,0.3006742231882312,0.8431258844339623,0.3020347701587367,0.45,0.2980132450331126,0.35856573705179284,0.8894838001098297,33990,7284,7284,2332,500,500
llm_masked_logic_graph_reweighted,relation_attention,MLP_no_graph,0.8379424214363098,0.8265476120283021,0.2825307285674626,0.8322640035377358,0.27562235053553097,0.412,0.29386590584878747,0.3430474604496253,0.8916803953871499,33990,7284,7284,2332,500,500
llm_masked_logic_graph_reweighted,relation_attention,Base,0.7692518830299377,0.8276139445754717,0.2933509022262071,0.8414354363207547,0.3185041321292987,0.494,0.27353266888150607,0.35210263720598717,0.8752059308072487,33990,7284,7284,2332,500,500
llm_masked_logic_graph_reweighted,relation_attention,Base_TextSim,0.8834524154663086,0.8264602004716981,0.2947474606769859,0.8379887971698113,0.320603497867242,0.364,0.3427495291902072,0.3530552861299709,0.9084294343767161,33990,7284,7284,2332,500,500
llm_masked_logic_graph_reweighted,relation_attention,Base_CB,0.7571024894714355,0.8262529481132077,0.29212790960240376,0.8380076650943397,0.296970948358271,0.444,0.27994955863808324,0.3433874709976798,0.8834431630971994,33990,7284,7284,2332,500,500
llm_masked_logic_graph_reweighted,relation_attention,Base_LogicAE_CB,0.8332388401031494,0.8295232900943397,0.30380587267539405,0.8440664799528302,0.299970992395642,0.406,0.3212025316455696,0.3586572438162544,0.9003294892915981,33990,7284,7284,2332,500,500
llm_masked_logic_graph_reweighted,relation_attention,Full,0.7785241007804871,0.8290507075471697,0.295268143144501,0.8410103183962264,0.3036081648123137,0.488,0.27601809954751133,0.35260115606936415,0.8769906644700713,33990,7284,7284,2332,500,500
